year,ch4 global mean(ppb),ch4 uncertainty(ppb)
1984,1656,2
1985,1668,2
1986,1681,2
1987,1693,2
1988,1704,2
1989,1715,2
1990,1725,2
1991,1736,2
1992,1745,2
1993,1748,2
1994,1753,2
1995,1760,2
1996,1763,2
1997,1766,2
1998,1776,2
1999,1783,2
2000,1784,2
2001,1783,2
2002,1784,2
2003,1788,2
2004,1788,2
2005,1787,2
2006,1787,2
2007,1793,2
2008,1800,2
2009,1805,2
2010,1810,2
2011,1816,2
2012,1821,2
2013,1827,2
2014,1836,2
2015,1846,2
2016,1854,2
2017,1862,2
2018,1871,2
2019,1879,2
2020,1890,2
2021,1908,2
